"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"104",5,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,5,5,4,4,5,4
"105",5,4,4,5,4,4,4,4,2,5,4,4,4,4,5,5,5,5,5,4,4,4,4
"106",5,5,5,5,4,4,5,4,2,5,4,4,5,4,5,4,4,4,4,4,4,4,4
"107",5,4,5,4,4,4,5,4,2,5,4,4,4,5,4,5,5,5,5,4,4,4,4
"108",5,4,5,5,4,4,4,5,5,4,4,4,5,4,4,6,4,4,4,4,4,5,4
"109",4,4,4,5,5,3,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4
"110",5,5,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,5,5,4,5,4
"111",5,5,5,5,5,5,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"112",1,5,2,5,3,3,2,3,4,5,5,5,5,5,5,5,5,2,5,5,5,5,4
"113",4,4,5,4,3,3,4,5,4,5,4,3,4,3,4,5,5,4,5,4,3,4,3
"114",4,4,5,4,4,3,4,4,4,5,4,4,5,3,4,4,5,3,4,3,3,4,3
"115",5,4,3,5,3,4,3,5,2,5,4,2,2,4,2,3,3,5,5,4,5,4,4
"116",4,5,5,4,2,5,5,1,5,5,4,3,3,5,3,4,3,1,3,1,1,4,3
"117",5,5,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4
"118",4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,2,3,4,4
"119",4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,5,5
"120",5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,5,4,4,5,4
"121",5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5
"122",5,5,5,4,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,4,4,5,4
"123",5,4,5,5,5,3,5,5,4,4,4,4,4,4,4,5,5,4,5,4,5,5,4
"124",5,5,5,5,5,4,4,5,4,4,5,4,4,4,5,5,4,4,4,4,4,5,4
"125",5,5,4,5,4,3,4,4,4,4,5,5,4,4,4,5,5,5,5,4,4,5,4
"126",5,5,5,4,5,3,4,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5,4
